Date,Open,High,Low,Close,Volume
6/29/2009,23.75,23.75,23.75,23.75,11498
6/30/2009,23.75,23.75,23.75,23.75,5220
7/2/2009,22.75,22.75,22.75,22.75,2500
7/7/2009,22.5,22.5,22.5,22.5,7500
7/8/2009,22.5,22.5,22.5,22.5,2500
7/10/2009,23.25,23.75,23.25,23.75,5000
7/13/2009,22.5,23.75,22.5,23.75,5271
7/14/2009,22.5,22.5,20,20,1195
7/15/2009,23.75,23.75,23.75,23.75,1000
7/16/2009,21.75,21.75,21.75,21.75,1110
7/17/2009,22.5,28.75,22.5,28.75,8617
7/20/2009,27.75,27.75,22.5,25,8200
7/21/2009,26.25,26.25,23.75,23.75,4900
7/22/2009,23.75,23.75,21.75,23.75,38279
7/24/2009,25.75,27.5,25.75,27.5,985
7/27/2009,23.75,23.75,22.5,22.5,4242
7/29/2009,23.75,24,23.75,23.75,12700
7/30/2009,26.25,26.25,23.75,23.75,7490
7/31/2009,25,26.25,25,26.25,2500
8/3/2009,25,25,25,25,1000
8/4/2009,24.25,24.25,24.25,24.25,140
8/5/2009,25,25,25,25,172
8/6/2009,25,25,25,25,9997
8/7/2009,25,25,25,25,888
8/10/2009,26.25,26.25,26.25,26.25,580
8/11/2009,25,25,25,25,3000
8/12/2009,26.25,27.25,25,27.25,16000
8/13/2009,27.5,27.5,27.5,27.5,1000
8/14/2009,27.25,27.25,27.25,27.25,1000
8/17/2009,27.5,27.5,27.5,27.5,3000
8/18/2009,27.25,27.25,27.25,27.25,1200
8/19/2009,27.25,27.25,26.25,26.25,7506
8/21/2009,27.5,30,27.5,30,33225
8/24/2009,28.75,37.5,28.75,37,22491
8/25/2009,31.25,32.5,30.25,30.25,15838
8/26/2009,32.5,32.5,30,30,3400
8/27/2009,30,31.25,30,31.25,36862
8/28/2009,30.25,31.5,30.25,31.5,34496
8/31/2009,27.5,32,27.5,30,3500
9/1/2009,30,30,29.25,29.25,4500
9/2/2009,29.25,29.25,29.25,29.25,2000
9/3/2009,30,31.25,29.75,30,14500
9/4/2009,29.75,32,29.75,30,48625
9/8/2009,30,30,30,30,4000
9/9/2009,30,30,29.75,30,9500
9/10/2009,31.25,31.25,30.25,30.25,10000
9/11/2009,30,30,29.75,29.75,7499
9/14/2009,31.25,31.25,29.75,29.75,9369
9/15/2009,30,30,30,30,100
9/17/2009,30.25,30.25,27.5,27.5,1008
9/18/2009,28.75,28.75,28.75,28.75,6000
9/23/2009,30,30,29,29,7500
9/24/2009,27.75,28.75,27.75,28.5,6400
9/25/2009,28.75,28.75,28.75,28.75,4100
9/28/2009,28.75,28.75,28.75,28.75,7880
9/30/2009,28.5,28.5,28.5,28.5,7000
10/1/2009,28.5,30,28.5,28.5,26003
10/2/2009,31.25,31.25,28.5,28.75,17961
10/5/2009,29.75,29.75,28.75,28.75,12070
10/6/2009,28.75,28.75,28.75,28.75,2825
10/7/2009,28.75,29.75,28.5,29.75,17850
10/8/2009,29.75,32,29.5,30.75,36600
10/9/2009,30.75,33.75,30.75,33.75,24500
10/13/2009,32,32,32,32,1000
10/14/2009,32.5,35,32.5,35,62500
10/15/2009,32.75,34.75,32.75,34.75,2743
10/16/2009,36.75,43.75,36.25,43.75,160138
10/19/2009,43.75,55,43.75,50,42486
10/20/2009,50,50,48.75,48.75,1950
10/22/2009,47,47,39.5,40.25,13978
10/23/2009,42.25,50,41,46.25,40200
10/26/2009,46,46,44.25,45,1450
10/27/2009,43,43.75,42.5,43.75,5375
10/28/2009,41,42.5,40,40,8542
10/29/2009,41.25,42.5,40,41,11800
10/30/2009,40.5,41.75,40.5,41.75,736
11/2/2009,42.5,42.5,41.25,41.25,9464
11/3/2009,40,40,37.5,38.75,14107
11/4/2009,38.75,38.75,38.75,38.75,3393
11/5/2009,40,40.5,38.5,38.5,4500
11/6/2009,39.25,42.5,39.25,41.25,23662
11/9/2009,40.75,42,40.75,40.75,3718
11/10/2009,41.25,41.25,40,40,3504
11/12/2009,40.75,40.75,40.75,40.75,6500
11/13/2009,42,49.5,41,48.75,17740
11/16/2009,43.75,45,41.5,41.5,14185
11/17/2009,45,45,42.5,42.5,7704
11/18/2009,42.75,42.75,41.5,42.75,15180
11/19/2009,41.5,42.75,41.25,41.5,6409
11/20/2009,42.5,42.5,41.75,42.5,8500
11/23/2009,42.75,43,41.5,42.75,6192
11/24/2009,41.75,42.5,41.5,42.5,5450
11/27/2009,42.5,43,41.25,42,8252
